epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.94678,0.7255,3.18611,1.10908,0.00333,1,0.1752,0.10331,0.57372,3.24694,1.07585,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022
2,5.40818,0.62464,2.98933,1.03609,0.00333,1,0.40845,0.31905,0.44692,3.0432,0.94477,0.00136634,0.000455446,0.00136634,0.000455446,0.00136634,0.000455446,0.00136634,0.000455446
3,7.49474,0.54947,2.8147,0.98591,0.00333,1,0.76584,0.67567,0.38745,2.97496,0.88346,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614,0.00205842,0.00068614
4,9.55474,0.49263,2.32937,0.95747,0.00333,1,0.88279,0.7773,0.38375,2.81177,0.86052,0.00273625,0.000912082,0.00273625,0.000912082,0.00273625,0.000912082,0.00273625,0.000912082
5,11.5243,0.4693,1.68231,0.93433,1,0.84449,0.92129,0.80224,0.45535,2.39671,0.87379,0.00339982,0.00113327,0.00339982,0.00113327,0.00339982,0.00113327,0.00339982,0.00113327
6,13.281,0.44197,1.28556,0.88397,0.996,0.86364,0.95837,0.83752,0.475,1.96174,0.87505,0.00404913,0.00134971,0.00404913,0.00134971,0.00404913,0.00134971,0.00404913,0.00134971
7,15.0466,0.44787,1.10059,0.91366,1,0.90701,0.97473,0.85351,0.50871,1.57455,0.88215,0.00468419,0.0015614,0.00468419,0.0015614,0.00468419,0.0015614,0.00468419,0.0015614
8,16.7185,0.43209,1.03895,0.89707,1,0.91046,0.98339,0.86198,0.47701,1.32247,0.85821,0.00530499,0.00176833,0.00530499,0.00176833,0.00530499,0.00176833,0.00530499,0.00176833
9,18.3827,0.42799,1.00512,0.90414,1,0.94983,0.99326,0.86879,0.52149,1.20869,0.87062,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,20.0409,0.43243,0.91824,0.89287,1,0.95402,0.99167,0.87279,0.49897,1.16528,0.85339,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,21.7213,0.47674,0.9108,0.90692,0.94819,0.90909,0.91054,0.85231,0.46485,1.18598,0.8627,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,23.3843,0.43431,0.82978,0.89754,0.94653,0.90909,0.90176,0.81814,0.43172,1.11146,0.85816,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,25.0404,0.42869,0.79187,0.8673,0.94667,0.90909,0.91425,0.84936,0.45505,0.9931,0.87225,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,26.7065,0.44771,0.73836,0.88917,0.98542,0.95455,0.98759,0.84512,0.5241,0.83062,0.89887,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,28.3607,0.41837,0.73508,0.87049,0.95638,0.99681,0.98935,0.83492,0.52878,0.73838,0.90367,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,30.0195,0.43605,0.71053,0.87696,0.98978,1,0.995,0.87562,0.48109,0.64471,0.89611,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,31.699,0.43642,0.66795,0.8937,0.99632,1,0.995,0.86558,0.51602,0.53622,0.89665,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,33.352,0.46519,0.66762,0.91255,0.9962,1,0.995,0.86964,0.5176,0.51797,0.91414,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,35.0131,0.41311,0.61034,0.87948,0.99435,1,0.995,0.86628,0.47529,0.50634,0.89751,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,36.6961,0.4343,0.60519,0.90254,0.9935,1,0.995,0.89451,0.45494,0.49389,0.88926,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,38.3553,0.43183,0.61163,0.87358,0.99117,1,0.995,0.89975,0.4351,0.45871,0.87728,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,40.0143,0.39925,0.5688,0.89196,0.99411,1,0.995,0.88747,0.42353,0.47188,0.87862,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,41.6744,0.40181,0.5591,0.88327,1,0.99771,0.995,0.87772,0.44366,0.47635,0.87867,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,43.335,0.40867,0.54677,0.88661,0.98957,1,0.995,0.89574,0.43255,0.46007,0.88998,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,44.9895,0.39913,0.51388,0.88346,0.95429,1,0.99326,0.90489,0.44039,0.46303,0.88243,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,46.6762,0.37224,0.52549,0.88539,0.95587,1,0.995,0.90604,0.44073,0.45329,0.86865,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,48.3609,0.37787,0.50769,0.88911,0.95376,1,0.99326,0.89291,0.46103,0.46474,0.87347,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,50.0115,0.39071,0.48941,0.89003,0.95415,1,0.99109,0.86929,0.5251,0.45334,0.91236,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,51.6837,0.38048,0.47136,0.86439,0.95433,1,0.99326,0.87925,0.47889,0.39922,0.89612,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,53.3516,0.37334,0.46984,0.85795,0.95418,1,0.99326,0.86357,0.47976,0.41214,0.88695,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,55.0155,0.38534,0.45507,0.86715,0.9108,0.95455,0.94748,0.8646,0.4862,0.42256,0.88103,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,56.7366,0.35172,0.42283,0.87779,0.95522,1,0.995,0.87541,0.47665,0.41082,0.88537,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,58.4233,0.33654,0.42869,0.87095,0.95837,1,0.995,0.86531,0.47396,0.38595,0.89504,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,60.1013,0.36368,0.42057,0.85947,0.95504,1,0.995,0.85483,0.48729,0.37411,0.89357,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,61.7992,0.35269,0.40273,0.87838,0.95612,1,0.995,0.86297,0.45718,0.36686,0.88773,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,63.4826,0.33346,0.40604,0.8839,0.94304,0.95455,0.93648,0.87988,0.45062,0.35472,0.87553,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,65.1646,0.35277,0.40847,0.85845,0.943,0.95455,0.93422,0.87901,0.45334,0.37504,0.87492,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,66.8385,0.38192,0.43195,0.88207,0.94799,0.95455,0.94877,0.8933,0.46722,0.37574,0.88006,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,68.5411,0.34528,0.4026,0.85182,0.99325,1,0.995,0.90621,0.40897,0.34543,0.86181,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,70.2488,0.36229,0.4028,0.86191,0.99409,1,0.995,0.90558,0.41419,0.34275,0.86445,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,71.9557,0.35142,0.38395,0.84619,0.95861,0.95455,0.95512,0.90813,0.43635,0.3445,0.86709,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,73.6641,0.32673,0.38548,0.85157,0.91626,0.99492,0.98939,0.92602,0.37721,0.37559,0.8241,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,75.3559,0.34926,0.37744,0.86963,0.91617,0.99372,0.98939,0.88996,0.37552,0.34886,0.82294,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,77.0438,0.34939,0.37729,0.86196,0.99629,1,0.995,0.87149,0.38288,0.32846,0.82672,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,78.7214,0.34128,0.36047,0.87026,0.99722,1,0.995,0.89187,0.38499,0.31349,0.83616,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,80.412,0.30749,0.34924,0.85523,0.99772,1,0.995,0.90179,0.41959,0.32312,0.85555,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,82.0835,0.37954,0.45843,0.8583,0.99754,1,0.995,0.90209,0.45037,0.30609,0.87138,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
